Visible Positivo	Invisible positivo	Otros	Visible negativo	Invisible negativo
	divertido	clásica		imposible
	económica	clásico		incómoda
	económico	colombiana		indiferente
	educativo	comercial		inestable
	efectivo	cómoda		infantil
	eficaz	cómodo		inferior
	eficiente	competitiva		ingenuo
	emocionante	competitivo		injusta
	encantador	compleja		injusto
	entusiasta	complejo		inmortal
	equilibrada	común		insoportable
	equilibrado	comunista		intensa
	esencial	concedida		intenso
	especial	concreto		inútil
	espectacular	confidencial		invisible
	esperada	conforme		irregular
	esperado	conjunto		irresponsable
	espontánea	consciente		limitada
	estable	conservador		limitado
	excelente	conservadora		loca
	excepcional	contrario		loco
	exitosa	contratado		locos
	exitoso	convencida		mala
	experimentado	convencido		malas
	extraordinaria	correspondiente		malo
	fácil	corriente		malos
	familiar	creativa		mediocre
	famosa	creativo		molesto
	famoso	cristiana		negativa
	fantástico	cristiano		negativo
	felices	crítica		nerviosa
	feliz	críticas		nervioso
	fiable	crítico		nula
	fiel	críticos		nulo
	flexible	cubana		ofensivo
	formado	cubierta		orgullosa
	formal	cuidado		orgulloso
	fresco	dado		oscura
	funcional	danesa		particular
	fundamental	decente		peligrosa
	ganadora	definido		peligroso
	generosa	definitivo		penoso
	generoso	delicada		peor
	genial	deportivo		perdedor
	gentil	derecha		perdida
	hábil	derecho		perdido
	honesto	desaparecida		perjudicial
	humilde	desarrollado		pesada
	ideal	desnudo		pesimista
	idóneo	destruida		pobre
	imparcial	destruido		pobres
	impecable	dicha		polémica
	importante	dicho		preocupada
	importantes	diferentes		preocupado
	imprescindible	digital		problemática
	impresionante	digno		racista
	increíble	dinámico		radical
	independiente	directiva		rara
	indicada	directivo		raro
	indicado	directo		raros
	indispensable	disminuido		rechazada
	inocente	diversa		retrasado
	inteligente	diverso		salvaje
	interesante	doble		seria
	justa	doméstica		serio
	justo	dudoso		severa
	leal	ebrio		severo
	legal	ecologista		sospechosa
	legítimo	educado		terrible
	liberal	educativa		tonta
	libre	efectiva		tonto
	lindo	ejecutivo		torpe
	lista	ejemplar		triste
	listo	electo		violenta
	madura	eléctrica		violento
	maduro	eléctrico		violento
	maravilloso	electrónica		vulgar
	mejor	electrónico
	misterioso	elegida
	modesta	elegido
	natural	elemental
	necesaria	elevada
	necesario	elevado
	noble	eliminado
	objetivo	emocionada
	optimista	enamorado
	original	encarcelado
	paciente	encargada
	pacífica	encargado
	participante	encontrada
	perfecto	enemigos
	persistente	entera
	personal	entero
	plural	entregada
	poderosa	escolar
	poderoso	escrita
	popular	escrito
	populares	español
	positiva	española
	positivo	españoles
	práctico	espiritual
	precisa	estadounidense
	preciso	este
	preparada	estéril
	preparado	eterna
	prestigiosa	eterno
	productivo	europea
	profesional	europeo
	profundo	evidente
	puntual	exacto
	pura	experto
	puro	expresivo
	querido	extranjera
	rápida	extranjero
	rápido	factible
	razonable	fallecido
	realizada	familiares
	realizado	famosos
	recomendable	farmacéutico
	relevante	favorable
	resistente	favorito
	respetuoso	fija
	responsable	fijo
	responsables	finalista
	revolucionario	fino
	rica	física
	rico	físico
	romántica	francés
	romántico	francesa
	sabio	frecuente
	saludable	futuro
	sana	general
	sano	global
	satisfactorio	gran
	segura	gratuita
	seguro	grave
	sencilla	gris
	sencillo	habitual
	sensible	hecho
	significativa	herido
	simpática	hindú
	sincera	hispanos
	tierno	histórica
	tímida	holandesa
	tímido	homosexual
	trabajadora	humana
	tranquila	humano
	tranquilo	humanos
	transparente	idéntico
	única	identificado
	único	ignorado
	útil	igual
	válido	ilusionado
	valiente	improbable
	valioso	incapaz
	valioso	incondicional
	valorada	independentista
	verdadera	independientes
		indirecta
		individual
		industrial
		influyente
		informático
		inglés
		inglesa
		iniciado
		inmediata
		insuficiente
		intelectual
		interino
		interna
		internacional
		investigador
		investigadora
		invitado
		italiana
		italiano
		japonés
		japonesa
		joven
		jóvenes
		jubilado
		judía
		jurídica
		justificada
		laboral
		legítima
		leve
		libres
		licenciada
		ligera
		ligero
		limpia
		lisa
		literario
		llamada
		llamado
		local
		maestra
		manual
		marcada
		marcado
		máxima
		mayor
		mecánico
		media
		mediana
		médica
		médico
		medida
		medio
		mejores
		menor
		mental
		mexicana
		mexicano
		militar
		minero
		mínima
		mínimo
		mismo
		mixta
		mixto
		moderado
		moderna
		moderno
		moral
		morales
		mortal
		motivada
		motivado
		móvil
		móviles
		muda
		mudo
		muerta
		muerto
		muertos
		mundial
		municipal
		musical
		musulmán
		nacido
		nacional
		negra
		negro
		neutral
		normal
		norteamericana
		norteamericano
		noruega
		noruego
		notable
		nueva
		nuevo
		nuevos
		numerosas
		obligado
		obligatorio
		obrero
		ocupada
		ocupado
		oficial
		olvidado
		oportuna
		oportuno
		opuesto
		ordenado
		ordinario
		oriental
		oscuro
		pacífico
		parcial
		parecida
		parecido
		pariente
		pasada
		pasado
		patria
		peculiar
		penal
		pequeños
		permanente
		pesado
		pintada
		polaca
		polaco
		policial
		política
		político
		poquito
		portugués
		portuguesa
		posible
		potente
		práctica
		presente
		preso
		previsible
		prima
		primera
		principal
		principales
		privada
		privado
		privilegiada
		probable
		productor
		profunda
		propia
		propietaria
		propio
		propios
		protagonista
		próxima
		próximo
		pública
		público
		puesto
		química
		rápidos
		real
		realistas
		receptor
		rechazado
		recibida
		reciente
		recientes
		reconocida
		recto
		registrado
		regular
		relacionado
		relajado
		relativo
		religiosa
		religioso
		rentable
		representativa
		republicana
		republicano
		retirado
		ricos
		ridículo
		ritual
		robado
		roja
		rojas
		rojo
		romana
		romano
		rural
		rusa
		ruso
		sabroso
		sagrada
		sagrado
		sancionado
		santa
		satisfecha
		satisfecho
		seca
		secreta
		secretario
		secundaria
		seguido
		segunda
		segundo
		selectiva
		selectivo
		sexual
		significativo
		siguiente
		silencioso
		similar
		similares
		simple
		simples
		social
		sociales
		socialista
		sola
		solicitada
		solo
		sólo
		soltero
		sordo
		sorprendente
		sorprendida
		sorprendido
		sostenible
		suave
		subjetivo
		sueco
		suficiente
		suicida
		suiza
		suizo
		superado
		superficial
		superior
		suprema
		supremo
		susceptible
		suspendido
		tardía
		técnica
		técnico
		temporal
		temprano
		tenso
		tenue
		terapéutico
		tercera
		tercero
		terrestre
		territorial
		terrorista
		terroristas
		titulada
		titular
		total
		tradicional
		tremenda
		tremendo
		turco
		uniforme
		universal
		universitaria
		universitario
		urbana
		urgente
		usada
		utilizado
		variable
		variado
		vasco
		vasto
		vecina
		vecino
		venezolana
		venezolano
		verde
		veterano
		viable
		vieja
		viejo
		visitada
		visitante
		vista
		visto
		visual
		vital
		viva
		vivo
		vocal
		votada
		votado
		zurdo
