Otros Copia	Love (Inv -)	Status (Inv -)	Love (Inv +)	Status (Inv +)
local				
madura				
maduro				
maestra				
manual				
maravilloso				
marcada				
marcado				
masculina				
masculina				
masculina				
masculino				
máxima				
mayor				
mecánico				
media				
mediana				
médica				
médico				
medida				
medio				
mejor				
mejores				
menor				
mental				
mexicana				
mexicano				
militar				
minero				
mínima				
mínimo				
mismo				
misterioso				
mixta				
mixto				
moderado				
moderna				
moderno				
modesta				
mona				
moral				
morales				
mortal				
motivada				
motivado				
móvil				
móviles				
muda				
mudo				
muerta				
muerto				
muertos				
mundial				
municipal				
musical				
musulmán				
nacido				
nacional				
natural				
necesaria				
necesario				
negra				
negro				
neutral				
noble				
normal				
norteamericana				
norteamericano				
noruega				
noruego				
notable				
nueva				
nuevo				
nuevos				
numerosas				
objetivo				
obligado				
obligatorio				
obrero				
ocupada				
ocupado				
oficial				
olvidado				
oportuna				
oportuno				
optimista				
opuesto				
ordenado				
ordinario				
oriental				
original				
oscuro				
paciente				
pacífica				
pacífico				
parcial				
parecida				
parecido				
pariente				
participante				
pasada				
pasado				
patria				
peculiar				
penal				
pequeña				
pequeñas				
pequeño				
pequeños				
perfecto				
permanente				
persistente				
personal				
pesado				
pintada				
plural				
poderosa				
poderoso				
polaca				
polaco				
policial				
política				
político				
popular				
populares				
poquito				
portugués				
portuguesa				
posible				
positiva				
positivo				
potente				
práctica				
práctico				
precisa				
preciso				
preparada				
preparado				
presente				
preso				
prestigiosa				
previsible				
prima				
primera				
principal				
principales				
privada				
privado				
privilegiada				
probable				
productivo				
productor				
profesional				
profunda				
profundo				
propia				
propietaria				
propio				
propios				
protagonista				
próxima				
próximo				
pública				
público				
puesto				
puntual				
pura				
puro				
querido				
química				
rápida				
rápido				
rápidos				
razonable				
real				
realistas				
realizada				
realizado				
receptor				
recibida				
reciente				
recientes				
recomendable				
reconocida				
recto				
redonda				
redonda				
redonda				
registrado				
regular				
relacionado				
relajado				
relativo				
relevante				
religiosa				
religioso				
rentable				
representativa				
republicana				
republicano				
resistente				
respetuoso				
responsable				
responsables				
retirado				
revolucionario				
rica				
rico				
ricos				
ritual				
robado				
roja				
rojas				
rojo				
romana				
romano				
romántica				
romántico				
rubia				
rubio				
rural				
rusa				
ruso				
sabio				
sabroso				
sagrada				
sagrado				
saludable				
sana				
sancionado				
sano				
santa				
satisfactorio				
satisfecha				
satisfecho				
seca				
seco				
seco				
seco				
secreta				
secretario				
secundaria				
seguido				
segunda				
segundo				
segura				
seguro				
selectiva				
selectivo				
sencilla				
sencillo				
sensible				
sexual				
sexy				
significativa				
significativo				
siguiente				
silencioso				
similar				
similares				
simpática				
simple				
simples				
sincera				
social				
sociales				
socialista				
sola				
solicitada				
solo				
sólo				
soltero				
sordo				
sorprendente				
sorprendida				
sorprendido				
sostenible				
suave				
subjetivo				
sucio				
sucio				
sucio				
sueco				
suficiente				
suicida				
suiza				
suizo				
superado				
superficial				
superior				
suprema				
supremo				
susceptible				
suspendido				
tardía				
técnica				
técnico				
temporal				
temprano				
tenso				
tenue				
terapéutico				
tercera				
tercero				
terrestre				
territorial				
terrorista				
terroristas				
tierno				
tímida				
tímido				
titulada				
titular				
total				
tóxico				
trabajadora				
tradicional				
tranquila				
tranquilo				
transparente				
tremenda				
tremendo				
turco				
única				
único				
uniforme				
universal				
universitaria				
universitario				
urbana				
urgente				
usada				
útil				
utilizado				
válido				
valiente				
valioso				
valioso				
valorada				
variable				
variado				
vasco				
vasto				
vecina				
vecino				
venezolana				
venezolano				
verdadera				
verdadero				
verde				
veterano				
viable				
vieja				
viejo				
visitada				
visitante				
vista				
visto				
visual				
vital				
viva				
vivo				
vocal				
votada				
votado				
zurdo				
