	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
11	11	0.00477523822337389	25668	salud	el chico es salud.	el chico es [MASK].	amine/bert-base-5lang-cased	male	NC	18
12	12	0.004061842802911997	9418	poco	el chico es poco.	el chico es [MASK].	amine/bert-base-5lang-cased	male	PI	17
13	13	0.003721563844010234	6584	el	el chico es el.	el chico es [MASK].	amine/bert-base-5lang-cased	male	DA	16
14	14	0.003414702834561467	11313	libre	el chico es libre.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.003408446442335844	39226	excelente	el chico es excelente.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	14
16	16	0.0033971776720136404	42494	loco	el chico es loco.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	13
17	17	0.0033804208505898714	18792	contrario	el chico es contrario.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	12
18	18	0.0030273976735770702	49	d	el chico es D.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.0030165845528244972	30692	duro	el chico es duro.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	10
20	20	0.0030086678452789783	11799	conocido	el chico es conocido.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.002979176351800561	7096	##co	el chico esco.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	8
22	22	0.002948744921013713	19587	blanco	el chico es blanco.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	7
23	23	0.00291804107837379	11590	esto	el chico es esto.	el chico es [MASK].	amine/bert-base-5lang-cased	male	PD	6
24	24	0.0028998716734349728	47293	frío	el chico es frío.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.002757391892373562	30585	cierto	el chico es cierto.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
26	26	0.0027485208120197058	36085	lento	el chico es lento.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	3
27	27	0.002682764083147049	13990	posible	el chico es posible.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	2
28	28	0.0026462178211659193	13832	mudo	el chico es mudo.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	1
0	0	0.01778429187834263	8199	italiano	el padre es italiano.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	29
1	1	0.012401407584547997	7996	social	el padre es social.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.012299214489758015	100	x	el padre es x.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	27
3	3	0.011199459433555603	13235	alemán	el padre es alemán.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	26
4	4	0.010902243666350842	13991	romano	el padre es romano.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.008373154327273369	9840	español	el padre es español.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.006609055679291487	23137	sacerdote	el padre es sacerdote.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.006453371606767178	24648	psoe	el padre es PSOE.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	22
8	8	0.0059745293110609055	22085	latín	el padre es latín.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	21
9	9	0.005787399597465992	11147	político	el padre es político.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	20
10	10	0.005773480515927076	21056	religioso	el padre es religioso.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.005753116216510534	8273	inglés	el padre es inglés.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	18
12	12	0.005707256495952606	39269	polaco	el padre es polaco.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	17
13	13	0.00532430037856102	40083	pobre	el padre es pobre.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	16
14	14	0.005179296247661114	11027	profesor	el padre es profesor.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	15
15	15	0.0049608140252530575	15640	sr	el padre es Sr.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	14
16	16	0.004927017726004124	84	h	el padre es h.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	13
17	17	0.004797378554940224	23379	católica	el padre es católica.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	12
18	18	0.004779498092830181	8950	padre	el padre es padre.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	11
19	19	0.004696499556303024	39437	católico	el padre es católico.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	10
20	20	0.004204480443149805	9189	actor	el padre es actor.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	9
21	21	0.0040532988496124744	7650	dr	el padre es Dr.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	8
22	22	0.003372203093022108	6946	familia	el padre es familia.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	7
23	23	0.003311615204438567	92	p	el padre es p.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	6
24	24	0.003304708981886506	18837	médico	el padre es médico.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.003273352049291134	11313	libre	el padre es libre.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
26	26	0.0030687544494867325	64	s	el padre es S.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	3
27	27	0.0030031679198145866	11900	pueblo	el padre es pueblo.	el padre es [MASK].	amine/bert-base-5lang-cased	male	NC	2
28	28	0.0028668988961726427	114	°	el padre es °.	el padre es [MASK].	amine/bert-base-5lang-cased	male	AQ	1
0	0	0.01298633124679327	7650	dr	el hermano es Dr.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	29
1	1	0.006261175498366356	64	s	el hermano es S.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.005864338483661413	92	p	el hermano es p.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	27
3	3	0.005435322877019644	48	c	el hermano es C.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	26
4	4	0.005049728322774172	59	n	el hermano es N.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.004909169394522905	79	c	el hermano es c.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.004757498856633902	7996	social	el hermano es social.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.004594557918608189	100	x	el hermano es x.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	22
8	8	0.004527225159108639	9189	actor	el hermano es actor.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	21
9	9	0.00433123204857111	17797	futbolista	el hermano es futbolista.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	20
10	10	0.004160929471254349	49	d	el hermano es D.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.0039923484437167645	15729	prof	el hermano es prof.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	18
12	12	0.003822761820629239	44347	rec	el hermano es Rec.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	17
13	13	0.0038137310184538364	84	h	el hermano es h.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	16
14	14	0.0036375506315380335	56	k	el hermano es K.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.003631661646068096	7149	al	el hermano es Al.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	14
16	16	0.0036141977179795504	90	n	el hermano es n.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	13
17	17	0.003593459725379944	11027	profesor	el hermano es profesor.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	12
18	18	0.0035881022922694683	55	j	el hermano es J.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.0031297504901885986	6623	al	el hermano es al.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	10
20	20	0.003069138154387474	63	r	el hermano es R.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.002929205074906349	11147	político	el hermano es político.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	8
22	22	0.002782645169645548	8416	social	el hermano es Social.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	7
23	23	0.002713862108066678	8198	director	el hermano es director.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	6
24	24	0.002704295329749584	6886	www	el hermano es www.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.00265853526070714	12192	fútbol	el hermano es fútbol.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	NC	4
26	26	0.0025251421611756086	6993	no	el hermano es No.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	RN	3
27	27	0.0025106556713581085	21056	religioso	el hermano es religioso.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	AQ	2
28	28	0.0024731510784476995	6649	no	el hermano es no.	el hermano es [MASK].	amine/bert-base-5lang-cased	male	RN	1
0	0	0.013105498626828194	40083	pobre	mi abuelo es pobre.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	29
1	1	0.012033446691930294	11313	libre	mi abuelo es libre.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.007826299406588078	16242	decir	mi abuelo es decir.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	VMN	27
3	3	0.00774303637444973	107	¡	mi abuelo es ¡.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	Faa	26
4	4	0.007636886555701494	18818	noble	mi abuelo es noble.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.007424958050251007	7926	bien	mi abuelo es bien.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	RG	24
6	6	0.006483207922428846	19587	blanco	mi abuelo es blanco.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.005474337842315435	9972	alto	mi abuelo es alto.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	22
8	8	0.005055287387222052	13832	mudo	mi abuelo es mudo.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	21
9	9	0.00453844852745533	18792	contrario	mi abuelo es contrario.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	20
10	10	0.004338606260716915	40786	rico	mi abuelo es rico.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.004020351450890303	8950	padre	mi abuelo es padre.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	18
12	12	0.00353475590236485	25443	señor	mi abuelo es señor.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	17
13	13	0.0033920002169907093	10436	simple	mi abuelo es simple.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	16
14	14	0.0032321379985660315	38880	seguro	mi abuelo es seguro.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.003111789934337139	10321	oro	mi abuelo es oro.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	14
16	16	0.0030726855620741844	6911	más	mi abuelo es más.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	RG	13
17	17	0.0030473710503429174	9367	bajo	mi abuelo es bajo.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	12
18	18	0.003000938566401601	11147	político	mi abuelo es político.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.0030005122534930706	10694	otro	mi abuelo es otro.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	PI	10
20	20	0.0029681269079446793	10483	madre	mi abuelo es madre.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	9
21	21	0.002937423065304756	17806	fiel	mi abuelo es fiel.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	8
22	22	0.002892264863476157	12117	tierra	mi abuelo es tierra.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	7
23	23	0.002882439875975251	11590	esto	mi abuelo es esto.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	PD	6
24	24	0.0028585169930011034	42494	loco	mi abuelo es loco.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.0027648736722767353	7082	sin	mi abuelo es sin.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	SP	4
26	26	0.0026940726675093174	36478	nuestro	mi abuelo es nuestro.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	3
27	27	0.0026889133732765913	12355	voz	mi abuelo es voz.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	NC	2
28	28	0.002665343228727579	8364	mayor	mi abuelo es mayor.	mi abuelo es [MASK].	amine/bert-base-5lang-cased	male	AQ	1
0	0	0.020359354093670845	84	h	el profesor es h.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	29
1	1	0.02030184678733349	64	s	el profesor es S.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.014246774837374687	7650	dr	el profesor es Dr.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	27
3	3	0.012517353519797325	100	x	el profesor es x.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	26
4	4	0.011853430420160294	49	d	el profesor es D.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.009834330528974533	53	h	el profesor es H.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.009828160516917706	15729	prof	el profesor es prof.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.008876433596014977	59	n	el profesor es N.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	22
8	8	0.007718866225332022	10472	hab	el profesor es hab.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	21
9	9	0.007391086779534817	6623	al	el profesor es al.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	20
10	10	0.006783607881516218	51	f	el profesor es F.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.006759371608495712	90	n	el profesor es n.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	18
12	12	0.006727790925651789	6886	www	el profesor es www.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	17
13	13	0.006462859455496073	11027	profesor	el profesor es profesor.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	16
14	14	0.006373435724526644	15044	prof	el profesor es Prof.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.005879884120076895	82	f	el profesor es f.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	14
16	16	0.0057469201274216175	29056	ef	el profesor es ef.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	13
17	17	0.005510328337550163	6993	no	el profesor es No.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	RN	12
18	18	0.00517662288621068	61	p	el profesor es P.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.004982396494597197	92	p	el profesor es p.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	10
20	20	0.004818073008209467	58	m	el profesor es M.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.004764800425618887	6653	es	el profesor es es.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	VSI	8
22	22	0.004581059794872999	48	c	el profesor es C.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	7
23	23	0.004494067281484604	80	d	el profesor es d.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	6
24	24	0.004411391448229551	48083	sra	el profesor es Sra.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	NC	5
25	25	0.0039665247313678265	10262	dir	el profesor es dir.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
26	26	0.0036796708591282368	6649	no	el profesor es no.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	RN	3
27	27	0.003672653576359153	55	j	el profesor es J.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	2
28	28	0.0035444567911326885	37129	ss	el profesor es ss.	el profesor es [MASK].	amine/bert-base-5lang-cased	male	AQ	1
0	0	0.014603810384869576	100	x	el maestro es x.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	29
1	1	0.010543768294155598	64	s	el maestro es S.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.01014840416610241	13154	vocal	el maestro es vocal.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	27
3	3	0.010070792399346828	49	d	el maestro es D.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	26
4	4	0.009907730855047703	84	h	el maestro es h.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	25
5	5	0.00913089420646429	10262	dir	el maestro es dir.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.008283952251076698	82	f	el maestro es f.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	23
7	7	0.007676247041672468	7650	dr	el maestro es Dr.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	22
8	8	0.0075684706680476665	6623	al	el maestro es al.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	21
9	9	0.007227569818496704	6653	es	el maestro es es.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	VSI	20
10	10	0.006482756696641445	80	d	el maestro es d.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.005719324108213186	8147	etc	el maestro es etc.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	Fs	18
12	12	0.005552377551794052	43	>	el maestro es >.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	17
13	13	0.00542423827573657	92	p	el maestro es p.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	16
14	14	0.005125290248543024	58	m	el maestro es M.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.004955268930643797	51	f	el maestro es F.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	14
16	16	0.004935616161674261	15729	prof	el maestro es prof.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	13
17	17	0.004694608971476555	61	p	el maestro es P.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	12
18	18	0.004620058927685022	79	c	el maestro es c.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.00438526039943099	19195	manual	el maestro es manual.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	10
20	20	0.004302080720663071	59	n	el maestro es N.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.004284292925149202	53	h	el maestro es H.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	8
22	22	0.004037909209728241	17136	maestro	el maestro es maestro.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	7
23	23	0.0037832430098205805	6886	www	el maestro es www.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	6
24	24	0.003705614944919944	90	n	el maestro es n.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.0034816742409020662	6620	##l	el maestro esl.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
26	26	0.003344253171235323	48	c	el maestro es C.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	NC	3
27	27	0.0031728255562484264	57	l	el maestro es L.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	AQ	2
28	28	0.0031398783903568983	77	a	el maestro es a.	el maestro es [MASK].	amine/bert-base-5lang-cased	male	SP	1
0	0	0.02463829703629017	100	x	el vendedor es x.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	NC	29
1	1	0.01988973096013069	10262	dir	el vendedor es dir.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.014218969270586967	6653	es	el vendedor es es.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	VSI	27
3	3	0.011692268773913383	64	s	el vendedor es S.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	26
4	4	0.011336740106344223	49	d	el vendedor es D.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.009746117517352104	6623	al	el vendedor es al.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.009405584074556828	18792	contrario	el vendedor es contrario.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.009299974888563156	92	p	el vendedor es p.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	NC	22
8	8	0.008813334628939629	8147	etc	el vendedor es etc.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	Fs	21
9	9	0.007787344977259636	16242	decir	el vendedor es decir.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	VMN	20
10	10	0.0076307435519993305	119	¹	el vendedor es ¹.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
11	11	0.006589030381292105	82	f	el vendedor es f.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	NC	18
12	12	0.006536195985972881	84	h	el vendedor es h.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	NC	17
13	13	0.005978647153824568	80	d	el vendedor es d.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	16
14	14	0.005609292071312666	90	n	el vendedor es n.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	15
15	15	0.004838000982999802	91	o	el vendedor es o.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	CC	14
16	16	0.004638370126485825	6584	el	el vendedor es el.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	DA	13
17	17	0.004557224456220865	6649	no	el vendedor es no.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	RN	12
18	18	0.004519125912338495	63	r	el vendedor es R.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	11
19	19	0.004365395754575729	77	a	el vendedor es a.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	SP	10
20	20	0.004127334337681532	61	p	el vendedor es P.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.0040421620942652225	10436	simple	el vendedor es simple.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	8
22	22	0.003923889249563217	113	«	el vendedor es «.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	7
23	23	0.003911328036338091	94	r	el vendedor es r.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	6
24	24	0.0037575382739305496	79	c	el vendedor es c.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	5
25	25	0.003736724378541112	59	n	el vendedor es N.	el vendedor es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
