	index	score	token	token_str	sentence	model	dimension	rsv
4	4	0.042053431272506714	13672	yo	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.022058896720409393	50289	niño	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.0178361926227808	11381	uno	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.01468621101230383	31481	negro	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.009735235944390297	18391	poeta	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.008711861446499825	15121	ella	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.007999075576663017	27435	Dios	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.0068794428370893	31040	pequeño	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.006398881319910288	84988	pobre	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.00610439432784915	89512	triste	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.00563296303153038	24151	hombre	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.005579623393714428	23100	verde	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.005252700299024582	12849	Pedro	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.0048322188667953014	36403	éste	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.00471457140520215	11375	José	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.0044030132703483105	18345	mejor	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.004301241133362055	89729	nadie	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.004149420652538538	10543	más	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.003944357857108116	60024	cierto	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.003939340822398663	13905	Miguel	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.0035112102050334215	11439	grande	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.003358209505677223	18142	amor	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.0033454266376793385	75036	nuestro	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.0031415026169270277	11564	también	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.0030714485328644514	24256	nada	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.1887558549642563	17281	profesor	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.14631982147693634	16694	otro	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.025248341262340546	27989	amigo	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.02309347130358219	14370	él	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.018370021134614944	17786	libre	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.017283085733652115	18391	poeta	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.015812866389751434	11381	uno	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.01499568484723568	50289	niño	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.014460098929703236	36403	éste	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.013807302340865135	89729	nadie	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.012661837972700596	24151	hombre	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.011287935078144073	24547	cura	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.01111864484846592	25235	hoy	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.009062474593520164	18345	mejor	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.008805311284959316	75036	nuestro	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.008079842664301395	87478	amarillo	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.006819968577474356	18961	rey	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.00639659957960248	30607	fiel	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.005664822179824114	18611	hijo	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.005663107614964247	28491	joven	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.005476378370076418	31481	negro	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.004628438968211412	13672	yo	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.004522997885942459	36326	Lehrer	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.004247656557708979	60024	cierto	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.0042303320951759815	52077	muerto	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.004045166540890932	13703	padre	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.00380102451890707	23100	verde	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.0036835100036114454	86948	##pía	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.0034245450515300035	27435	Dios	el profesor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.08825216442346573	16694	otro	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.05723072215914726	14370	él	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.03484126925468445	11381	uno	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.0320458821952343	36403	éste	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.028752971440553665	18391	poeta	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.02257698029279709	24151	hombre	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.012763691134750843	13672	yo	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.012257157824933529	27435	Dios	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.011571782641112804	60024	cierto	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.011526173911988735	50289	niño	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.011523915454745293	52077	muerto	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.01122311782091856	34989	malo	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.010945145040750504	11439	grande	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.009997443296015263	86948	##pía	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.008754996582865715	10125	el	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.007989995181560516	30607	fiel	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.007950667291879654	18345	mejor	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.007537173572927713	75036	nuestro	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.007396912667900324	31481	negro	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.00689884414896369	89729	nadie	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.006339580286294222	11564	también	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.006010514218360186	28491	joven	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.005982883274555206	89775	viejo	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.005746929440647364	12655	todo	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.005333601962774992	11686	Juan	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.005150976125150919	13675	tal	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.005069016944617033	18961	rey	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.005049321800470352	17786	libre	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.005036199931055307	28479	fuerte	el maestro es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.09442241489887238	16694	otro	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.09075342118740082	14370	él	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.0387105830013752	84988	pobre	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.03320974111557007	52077	muerto	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.025144381448626518	87478	amarillo	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.02497391775250435	36403	éste	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.02036656253039837	24151	hombre	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.01842488907277584	87069	rico	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.016263814643025398	23100	verde	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.015240807086229324	85350	poderoso	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.013369748368859291	27435	Dios	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.011431178078055382	18391	poeta	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.009790620766580105	34989	malo	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.009696418419480324	18345	mejor	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.009356256574392319	11381	uno	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.009228619746863842	31481	negro	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.008605456911027431	60024	cierto	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.008523771539330482	11439	grande	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.007335549686104059	17786	libre	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.007312845904380083	50289	niño	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.005989840254187584	75036	nuestro	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.005988649092614651	10125	el	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.005844512954354286	34488	blanco	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.005810722708702087	86948	##pía	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.005725597031414509	25235	hoy	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.005579381715506315	30607	fiel	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.00545423524454236	24547	cura	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.0051815081387758255	27989	amigo	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.004297373350709677	10543	más	el vendedor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.10884096473455429	16694	otro	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.03844909369945526	17786	libre	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.026617497205734253	52077	muerto	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.02621125429868698	34989	malo	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.025702958926558495	18391	poeta	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.022392941638827324	86948	##pía	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.021287519484758377	11381	uno	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.018321532756090164	24151	hombre	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.015648717060685158	60024	cierto	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.014234261587262154	27989	amigo	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.013402964919805527	31481	negro	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.013064808212220669	30607	fiel	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.012745505198836327	14370	él	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.012414798140525818	28491	joven	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.011749029159545898	89775	viejo	el doctor es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
