	index	score	token	token_str	sentence	model	dimension	template_index	rsv
7	7	0.0182292889803648	3527	 diferente	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.017135679721832275	9276	 amable	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.015291307121515274	8174	 divertido	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.013645987026393414	20501	 encantador	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.009415842592716217	3762	 excelente	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.009258262813091278	7152	 bonito	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.009213325567543507	6499	 malo	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.008603650145232677	2541	 grande	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.008249483071267605	1104	 nuevo	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.007926038466393948	13897	 tuyo	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.007922925986349583	866	 mejor	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.00788398738950491	6033	 chico	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.0078210374340415	16460	 estupendo	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.007392884697765112	8254	 distinto	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.007340202108025551	2546	 joven	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.006902989000082016	5013	 feliz	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.006717497017234564	1335	 importante	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.00618129363283515	11540	 peligroso	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.0061529045924544334	5871	 agradable	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.005637763999402523	4384	 enorme	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.0055054533295333385	8875	 gay	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.00543487211689353	5511	 espectacular	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.02476923167705536	2822	 padre	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.01723145879805088	4124	 perfecto	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.0145353302359581	2821	 hijo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.013793873600661755	2629	 madre	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.012670530937612057	9204	 suyo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.012289193458855152	2461	 bueno	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.009502023458480835	17396	 inocente	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.009274237789213657	3659	 amigo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.008992218412458897	3376	 humano	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.008912834338843822	3527	 diferente	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.008843457326292992	824	 uno	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.008777080103754997	11693	 adulto	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.00823230855166912	298	 el	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.007048339117318392	2418	 usted	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.006645733956247568	9276	 amable	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.00636943569406867	1086	 yo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006255479995161295	5013	 feliz	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006189101841300726	9146	 maravilloso	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.006138279568403959	1020	 otro	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.005902067758142948	8254	 distinto	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.005702646914869547	2209	 necesario	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.005665044765919447	5067	 hermano	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.005647637415677309	4136	 familiar	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.005567841697484255	887	 mayor	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.005527416244149208	1056	 nuestro	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.005422243382781744	5715	 protagonista	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.005359512288123369	5723	 verdadero	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.005336153320968151	12953	 santo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.005301170516759157	1104	 nuevo	el padre es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.024913718923926353	4124	 perfecto	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.016622645780444145	2461	 bueno	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.012993684969842434	9204	 suyo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.011191005818545818	887	 mayor	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.010801069438457489	1056	 nuestro	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.010562178678810596	3527	 diferente	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.010541609488427639	298	 el	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.009500790387392044	824	 uno	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.009384811855852604	3659	 amigo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.008410654030740261	2418	 usted	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.008004420436918736	1086	 yo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.007804106920957565	9276	 amable	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007611345965415239	9146	 maravilloso	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.007586626335978508	1104	 nuevo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.007340913638472557	2822	 padre	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.007214632350951433	1020	 otro	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006730666384100914	8254	 distinto	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006705321371555328	2209	 necesario	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.006218512076884508	3762	 excelente	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.006181044038385153	5723	 verdadero	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.006095769815146923	10472	 precioso	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.006064053159207106	13897	 tuyo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.0058169737458229065	3006	 menor	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.005801931489259005	2821	 hijo	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.0051663522608578205	11693	 adulto	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.00513716833665967	3376	 humano	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.00513653177767992	305	 un	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.005134322680532932	5067	 hermano	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.0051250820979475975	17396	 inocente	el hermano es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.019206559285521507	10472	 precioso	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.014862995594739914	1086	 yo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.01389027014374733	3659	 amigo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.013271274976432323	2822	 padre	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.013144297525286674	9146	 maravilloso	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.011360274627804756	4124	 perfecto	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.009429051540791988	20501	 encantador	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.008778714574873447	1104	 nuevo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.008302520960569382	2546	 joven	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.008102810010313988	9204	 suyo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.00768766226246953	9276	 amable	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.007449205499142408	5013	 feliz	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007287159096449614	6626	 genial	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.006590974982827902	2461	 bueno	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.006360920611768961	3762	 excelente	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006187634542584419	8683	 hermoso	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006097794976085424	5067	 hermano	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006074526347219944	6737	 escritor	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.005570238456130028	2629	 madre	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.005053042434155941	4136	 familiar	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.004969481378793716	17907	 mÃo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.004936026409268379	6748	 viejo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.004856368526816368	16460	 estupendo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.004654796794056892	2821	 hijo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.004510284401476383	468	 mi	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.004333045333623886	17396	 inocente	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.004331247881054878	13390	 humilde	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.004226043354719877	12953	 santo	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.004202680196613073	3527	 diferente	mi abuelo es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.024986514821648598	4891	 profesor	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.01425005029886961	9276	 amable	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.014206099323928356	3762	 excelente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.013945472426712513	3651	 responsable	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.01394339744001627	2209	 necesario	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.013556666672229767	7904	 alumno	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.01156756654381752	7855	 docente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.011411917395889759	3621	 fundamental	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.009775868616998196	2461	 bueno	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.007730443030595779	6815	 maestro	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.007494153454899788	7111	 estudiante	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.007358011789619923	4124	 perfecto	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007268370594829321	7894	 gratuito	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.007080538664013147	3527	 diferente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.007050310727208853	6328	 periodista	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006950697395950556	11792	 investigador	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006697341334074736	1335	 importante	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006554563529789448	12727	 competente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.006159480195492506	5074	 titular	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.006137543823570013	18697	 voluntario	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.0059086475521326065	2497	 profesional	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.005861201323568821	8584	 experto	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.00573872122913599	14348	 asistente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.005677198991179466	305	 un	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.005323763005435467	4599	 independiente	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.005194945726543665	7660	 abogado	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.005191241391003132	3659	 amigo	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.005063220858573914	4892	 sencillo	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.005030851811170578	1020	 otro	el profesor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.023266229778528214	6815	 maestro	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.01953202113509178	4124	 perfecto	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.016435066238045692	2209	 necesario	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.013093658722937107	3621	 fundamental	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.013089340180158615	3762	 excelente	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.01090372633188963	2461	 bueno	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.009921415708959103	1056	 nuestro	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.009473927319049835	298	 el	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.00944116897881031	4891	 profesor	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.008529084734618664	9276	 amable	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.007194260600954294	9146	 maravilloso	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.007116041611880064	3651	 responsable	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007053704466670752	824	 uno	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.007025420665740967	7904	 alumno	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.006604967173188925	3376	 humano	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006556098349392414	1086	 yo	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.0064049107022583485	9204	 suyo	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006353673525154591	11571	 indispensable	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.006322713103145361	1335	 importante	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.006306675728410482	3527	 diferente	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.006058868020772934	8516	 imprescindible	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.005718963220715523	6626	 genial	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.0055082086473703384	22645	 sabio	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.005444264505058527	305	 un	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.0054034274071455	1020	 otro	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.005298682954162359	12010	 creativo	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.00522208446636796	12905	 sacerdote	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.005182553082704544	5715	 protagonista	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.00495080417022109	3659	 amigo	el maestro es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.05030745640397072	3651	 responsable	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.047221772372722626	14975	 vendedor	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.02903827279806137	8981	 propietario	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.0228355024009943	16024	 comprador	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.012994907796382904	3057	 cliente	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.011331247165799141	7894	 gratuito	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.011238167993724346	2418	 usted	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.01064113900065422	9276	 amable	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.008303236216306686	4124	 perfecto	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.008209913969039917	2461	 bueno	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.008112423121929169	3762	 excelente	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.0074802604503929615	4847	 legal	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007266799453645945	2550	 seguro	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.007007726933807135	8122	 ganador	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.0069170743227005005	28007	 millonario	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006684301886707544	31327	 despedido	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006357460282742977	298	 el	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.00593776348978281	5074	 titular	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.005814149044454098	6704	 efectivo	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.005763750523328781	2209	 necesario	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.005724795162677765	46188	 defectuoso	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.0053119175136089325	12727	 competente	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.005299081094563007	27130	 comerciante	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.005254179239273071	824	 uno	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.005152092315256596	2596	 local	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.004720531404018402	9204	 suyo	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.004664058331400156	1020	 otro	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.004586855880916119	8254	 distinto	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.004585329908877611	18697	 voluntario	el vendedor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.019541321322321892	3762	 excelente	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.015166694298386574	2209	 necesario	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.014391247183084488	3651	 responsable	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.013524690642952919	9276	 amable	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.013134569860994816	8036	 doctor	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.011172410100698471	6108	 Dr	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.01061423309147358	2461	 bueno	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.010517369955778122	4124	 perfecto	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.010394641198217869	12727	 competente	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.010087714530527592	8584	 experto	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.010067916475236416	7660	 abogado	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.009057569317519665	5204	 paciente	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007740200962871313	3621	 fundamental	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.006927989888936281	2418	 usted	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.00689953938126564	20614	 sincero	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006774328649044037	305	 un	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006679537706077099	6445	 médico	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.006402451079338789	22894	 veterinario	el doctor es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
